mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,spectral_centroids,spectral_bandwidth,spectral_contrast,spectral_rolloff,meanfreq,maxfreq,tone_results,oc_results,label
-328.7,97.3,-19.3,8.4,-8.3,-17.5,0.2,-14.2,-10.3,-5,-13.5,0.4,-4.6,-11.4,-4.7,-8.3,-6.2,-2.1,-7.6,-2.6,2271,2278.3,24.8,4255,2257,12227.5,0,145,탑현-호랑수월가
-304.4,108.2,-70,18.1,-17.2,-33,-1.8,-27.6,9.7,1,-32.2,16,2,-20.9,3.8,-9.7,-6.8,1.8,-9.3,1,2763.8,2064.4,27.6,5056.3,2729,12196.8,0,132,테이-Monologue
-268.3,121.9,-58.7,10.8,-22.9,-29.1,10.2,-24.4,-7.6,0.5,-16.2,5.5,-10.9,-10.1,11.1,-6.5,4,7.5,-5.5,9.8,2401.4,2018,26.2,4432.7,2398.9,10908,1,220,트와이스-i can't stop me
-393.2,60,-15.7,20.6,-6.2,-9.8,12.5,-13.2,-6.2,2.5,-13.3,-0.4,-1.1,-9.1,-2.3,-7.3,-4.1,0.7,-6.2,-1.8,2797.7,2611.2,24.1,5167.2,2762.9,12363.6,0,130,포지션-I Love You
-416.6,99,-13.7,23.1,-0.8,-9.1,12,-13.8,-6.7,-0.9,-17.4,-4.4,-5.7,-10.8,-4,-10.8,-4.3,-0.6,-9.5,-5,2261.7,2367.4,24.1,4559.9,2250.3,13503.8,0,128,"폴킴-모든날, 모든 순간"
-361,87.8,-23.7,7.1,-6.7,-5,10.9,-16.1,-5,0.7,-16.9,-1.2,-2.6,-8.4,0.9,-8.3,-5.9,3,-2.6,-1.1,2234.8,2489,24.7,4377,2222.2,13397.2,0,132,하동균-그녀를 사랑해줘요
-444.3,103.6,-44.7,13.5,0.9,-11.9,3.4,-18.4,0.6,-2.8,-18.7,8.8,-7.3,-17.5,4.2,-10.5,-8.9,2.3,-7.9,-3,2755,2447.1,25.2,5248.6,2709.5,14629.5,0,136,한동근-그대라는 사치
-405.8,113.6,-48.4,8.7,-13.7,-20.4,1.8,-25.5,0.9,-0.4,-25.5,5.9,-4.9,-19.2,-1.6,-12.4,-7.1,-3.4,-15.9,-2.9,2649.2,2398.9,25.7,5084.4,2624,12419.9,0,141,허각-Hello
-421.3,88.6,-42.6,8.6,-14.1,-23.7,3.9,-17.5,-5.7,-3.9,-19.6,1.7,-8,-16.7,-1,-10.7,-4.2,4.5,-7.5,-1.2,2506.6,2391.4,25.6,4915.6,2490.9,12131.2,0,142,허각-나를 사랑했던 사람아
-326.5,95.1,-45.5,3.1,-11.2,-11.7,4,-25,-1.8,-0.2,-23.4,1.9,-7.4,-17.2,0.9,-11.8,-8.8,2.8,-6.3,-1,2821.6,2378.2,25.9,5163.8,2800.9,12578.4,0,137,황인욱-포장마차
